aiLov_e, 爱
aiLow, 矮
aiSto_p, 艾
aiStu_pid, 呆
anSad_dle, 鞍
anSaf_e, 安
aoProf_ound, 奥
aoProu_d, 傲
baDad, 爸
baDam, 坝
baHol_d, 把
baHop_e/cling to, 巴
baMarc_h, 跋
baMark, 靶
baiPur_e, 白
baiPut, 摆
bangClam, 蚌
bangClap_per, 梆
bangPound, 磅
bangPound, 镑
bangSta_te, 邦
bangSti_ck, 棒
baoBud, 苞
baoBur_st, 爆
baoPra_ise, 褒
baoPro_tect, 保
beiBac_k, 背
beiBak_e, 焙
beiTim_es, 倍
beiTir_ed, 惫
biSecret, 秘
biSecrete, 泌
biShe_lter, 庇
biShu_t, 闭
bianSid_e, 边
bianSig_n, 匾
binRefined, 彬
binRefined, 斌
boPre_dict, 卜
boPro_found, 博
boRun, 跑
boRus_h, 蒲
boSou_l/spirit, 魄
boSow, 播
boSud_den, 勃
boSur_name, 潘
buFea_r, 怖
buFee_d, 哺
cangGra_nary, 仓
cangGre_y, 苍
chaCha_tter, 喳
chaChe_ck, 查
chaFork, 叉
chaFork, 岔
chaFork, 杈
chaSla_nt, 斜
chaSli_t, 衩
chaiWol_f, 豺
chaiWoo_d, 柴
changProm_ote, 倡
changPros_perous, 昌
chaoMoc_k, 嘲
chaoMon_ey, 钞
chenSinc_ere, 忱
chenSink, 沉
chengProc_ess, 程
chengProp, 撑
chengPun_ish, 惩
chengPur_e, 澄
chengSucceed, 成
chengSucceed, 逞
chiLift, 提
chiLift/_raise, 抬
chiRed, 赤
chiRel_ax, 弛
chiSha_me, 耻
chiShe, 她
chiSna_ke, 蛇
chiSne_er, 嗤
chuiBeat, 捶
chuiBeat, 锤
chuiHam_mer, 椎
chuiHan_g, 垂
chunPure, 淳
chunPure, 纯
chunPure, 醇
chunSpring, 春
chunSpring, 椿
congCle_ver, 聪
congClu_ster, 丛
cuoDef_eat, 挫
cuoDes_troy, 摧
daBui_ld, 搭
daBum_p, 瘩
daRea_ch, 达
daRep_ly, 答
daiBad, 歹
daiBag, 袋
danBul_let, 弹
danBut, 但
danRed, 丹
danReg_ret, 憾
daoBea_t, 捣
daoBeg, 祷
daoRea_ch, 到
daoRep_eat, 叨
dengCle_ar/settle, 澄
dengCli_mb, 登
dengSta_re, 瞪
dengSto_ol, 凳
diCar_ry, 提
diCat_ch/arrest, 逮
dianPad, 垫
dianPas_ture, 甸
duAll, 都
duAlo_ne, 独
duBel_ly, 肚
duBet, 赌
eBad, 噩
eBad, 恶
eBad/_evil, 歹
eHub_ei, 鄂
eHun_gry, 饿
erSon, 儿
faLac_k, 乏
faLaw, 法
fanAll, 凡
fanAlu_m, 矾
fanComm_it, 犯
fanComp_lex, 繁
fanRet_urn, 返
fanRev_erse, 反
fanTim_e, 番
fanTir_ed, 烦
feiBan_dit, 匪
feiBar_k, 吠
feiCof_fee, 啡
feiCon_cubine, 妃
feiCos_t, 费
fenAnge_r, 忿
fenAngr_y, 愤
fengMad, 疯
fengMap_le, 枫
fengSea_l, 封
fengSew, 缝
fuBoi_l, 沸
fuBow, 俯
fuMan, 夫
fuMans_ion, 府
fuNot, 弗
fuPai_r, 副
fuPay, 付
fuWid_th, 幅
fuWif_e, 妇
fuWip_e, 拂
gangPor_t, 港
gangPos_t, 岗
gongBow, 弓
gongBow, 拱
gongBow, 躬
gongMerc_ury, 汞
gongMeri_t, 功
gongOffer, 供
gongOffer, 贡
gouDir_t, 垢
gouDit_ch, 沟
gouHook, 勾
gouHook, 钩
guOld, 古
guOld, 故
guanCof_fin, 棺
guanCon_sistent, 贯
hanCal_l, 喊
hanCas_e, 函
hanCol_d, 寒
hanCon_tain, 涵
hanDru_nk, 酣
hanDry, 旱
heCom_bine, 合
heCor_e, 核
heSca_re, 吓
heSco_rpion, 蝎
hongGrand, 宏
hongGrand, 弘
huPar_ticle, 乎
huPas_te, 糊
huaCha_nge, 化
huaChi_na, 华
huaDraw, 划
huaDraw, 画
huangAnxious, 惶
huangAnxious, 慌
huiReg_ret, 悔
huiRes_tore, 恢
huiRet_urn, 回
jiCha_nce, 机
jiChec_k, 稽
jiChes_s, 棋
jiChic_ken, 鸡
jiChirp, 叽
jiChirp, 唧
jiEdg_e, 际
jiEdi_t, 辑
jiLea_ther, 革
jiLev_el, 级
jiRecord, 纪
jiRecord, 记
jiSea_son, 季
jiSen_d, 寄
jiSev_eral, 几
jiSto_re, 积
jiStr_aw, 秸
jiaHol_d, 挟
jiaHom_e, 家
jiaPod, 荚
jiaPot_assium, 钾
jiaPra_ise, 嘉
jiaPri_ce, 价
jianChea_p, 贱
jianChec_k, 检
jianFro_nt, 前
jianFry, 煎
jianMon_itor, 监
jianMou_ntain, 涧
jianRec_ommend, 荐
jianRed_uce, 减
jianSha_rp, 尖
jianShe_ll, 茧
jianShoul_der, 肩
jianShout_/call, 喊
jiangGinger, 姜
jiangGinger, 蒋
jiaoCal_l, 叫
jiaoCar_riage, 轿
jiaoCom_pare, 较
jiaoCor_rect, 矫
jiaoSub_urb, 郊
jiaoSup_press, 剿
jieQuic_k, 捷
jieQuit, 戒
jieRec_eive, 接
jieRev_eal, 揭
jieRoa_d, 街
jieRob, 劫
jieSte_p, 阶
jieStr_aw, 秸
jinEne_rgy, 劲
jinEnt_er, 进
jingCal_m, 靖
jingCap_ital, 京
jingCau_tious, 兢
jingPup_il, 睛
jingPur_e, 净
juArc_h, 拱
juArr_est, 拘
juLif_t, 举
juLiv_e, 居
juMag_got, 蛆
juMar_ry, 娶
junSteed, 骏
junSteep, 峻
keCan, 可
keCar_ve, 刻
keCla_ss, 课
keClo_d, 坷
keGrai_n, 颗
keGram, 克
kuSto_re, 库
kuStr_addle, 跨
kuiGia_nt, 魁
kuiGif_t, 馈
lanRop_e, 缆
lanRot_ten, 烂
laoFlood, 涝
laoFlood, 潦
laoOld, 姥
laoOld, 老
leiPile _of stones, 磊
leiPile, 垒
liCal_endar, 历
liCar_p, 鲤
liCas_e, 例
liDrip, 沥
liDriz_zle, 漓
liGrai_n, 粒
liGrav_el, 砾
liInsi_de, 里
liInsp_ire, 励
liPea_r, 梨
liPer_cent, 厘
liPlo_w, 犁
liPlu_m, 李
liPos_ition, 位
liPow_er, 力
liPre_tty, 丽
liPro_fit, 利
lianLink, 联
lianLink, 连
lianLink, 链
lianLot_us, 莲
lianLov_e, 恋
liangFoo_d, 粮
liangFor_give, 谅
liaoChai_n, 镣
liaoChat, 聊
liuSta_y, 留
liuSte_am, 馏
louCra_te, 篓
louCru_de, 陋
luBrib_e, 赂
luBrin_e, 卤
luDee_r, 鹿
luDew, 露
luFoo_lish, 鲁
luFor_mal six, 陆
luRec_ord, 录
luRee_d, 芦
luoCam_el, 骆
luoCat_ch, 罗
maParticle, 么
maParticle, 吗
maiBur_y, 埋
maiBuy, 买
manSlow, 慢
manSlow, 曼
maoMoo_r, 锚
maoMor_tar, 卯
maoRis_k, 冒
maoRiv_et, 铆
mengFie_rce, 猛
mengFir_st, 孟
miRic_e, 米
miRid_dle, 谜
miSec_ret, 秘
miSee_k, 觅
mianRec_all, 缅
mianRes_t, 眠
miaoSec_ond, 秒
miaoSee_dling, 苗
moDes_ert, 漠
moDev_il, 魔
moNot_/have not, 没
muMod_el, 模
muMot_her, 母
naSod_ium, 钠
naSou_th, 南
naiTha_t, 那
naiThu_s, 乃
niuKnob, 钮
niuKnot, 纽
paSca_rf, 帕
paScr_atch, 扒
paoRoar, 咆
paoRoas_t, 炮
paoRob_e, 袍
peiCof_fee, 啡
peiCop_ious, 沛
peiPai_r, 配
peiPay, 赔
piDen_y/negate, 否
piDep_uty, 副
pianCha_pter, 篇
pianChe_at, 骗
piaoFloat, 漂
piaoFloat, 飘
pingSca_le, 秤
pingScr_een, 屏
poLak_e, 泊
poLam_e, 跛
qiFork, 歧
qiForm_al seven, 柒
qiHop_e, 企
qiHow, 岂
qiPerc_h, 栖
qiPeri_od, 期
qiRid_e, 骑
qiRis_e, 起
qiSta_b, 刺
qiSte_am, 汽
qiStr_eam, 溪
qianMod_est, 谦
qianMov_e, 迁
qianReb_uke, 谴
qianReg_ret, 歉
qiaoTak_e, 捎
qiaoTal_l, 乔
qiaoTilt, 翘
qiaoTilt, 跷
qingLif_t, 擎
qingLig_ht, 轻
quBend, 屈
quBend, 曲
quMag_got, 蛆
quMar_ry, 娶
queLac_k, 缺
queLam_e, 瘸
rangPul_p, 瓤
rangPus_h, 攘
rongMelt, 溶
rongMelt, 熔
rongMelt, 融
shaKill, 杀
shaKill, 煞
shaSand, 沙
shaSand, 砂
shanFan, 扇
shanFan, 煽
shaoSea_rch, 搜
shaoSen_try, 哨
shengRid_e, 乘
shengRis_e, 升
shiForm, 式
shiForma_l ten, 拾
shiLik_e, 似
shiLio_n, 狮
shiLos_e, 失
shiLou_se, 虱
shiMas_ter, 师
shiMat_ter, 事
shiPoe_m, 诗
shiPoo_p, 屎
shiPow_er, 势
shiRea_l, 实
shiRec_ord, 史
shiRoc_k, 石
shiRoo_m, 室
shiSee, 视
shiSer_ve, 侍
shuComb, 梳
shuComm_on, 庶
shuCon_vey, 抒
shuCoug_h, 嗽
shuCoun_t, 数
shuHea_t, 暑
shuHes_itate, 豫
shuRin_se, 漱
shuRip_e, 熟
shuSic_huan, 蜀
shuSig_n, 署
shuSpa_rse, 疏
shuSpe_cial, 殊
shuaiFad_e, 衰
shuaiFal_l, 摔
siFor_mal four, 肆
siFou_r, 四
siSil_k, 丝
siSix_th, 巳
siThin_k, 思
siThis, 斯
suiSuc_ceed, 遂
suiSui_ dynasty, 隋
taiStag_e, 台
taiStat_e, 态
tanCarb_on, 碳
tanCarp_et, 毯
tanLic_k, 舔
tanLig_ht, 淡
tanTalk, 谈
tanTalk, 谭
tiFol_d, 折
tiFor_mal four, 肆
tingHall, 厅
tingHall, 庭
tongCon_nect, 通
tongCop_per, 铜
tongTub_e, 筒
tongTun_g, 桐
wanPil_l, 丸
wanPit_y, 惋
weiEnd, 尾
weiEnt_rust, 委
weiFad_e, 萎
weiFak_e, 伪
weiFea_r, 畏
weiFee_d, 喂
weiHed_gehog, 猬
weiHer_b, 薇
weiMai_ntain, 维
weiMas_t, 桅
weiOnly, 唯
weiOnly, 惟
weiVio_late, 违
weiViv_id, 蔚
weiWef_t, 纬
weiWei, 魏
wuFif_th, 戊
wuFiv_e, 五
wuFog, 雾
wuFor_mal five, 伍
wuNoo_n, 午
wuNot, 勿
wuPara_sol, 梧
wuParr_ot, 鹉
xiBri_ght, 熙
xiBro_ok, 溪
xiKne_e, 膝
xiKno_w, 悉
xiPlay, 嬉
xiPlay, 戏
xiReg_ret, 惜
xiRes_t, 息
xiTie, 系
xiTin, 锡
xiaGor_ge, 峡
xiaGov_ern, 辖
xianFil_ling, 馅
xianFir_st, 先
xianLif_t, 掀
xianLim_it, 限
xianLin_e, 线
xiangLike, 像
xiangLike, 象
xiaoNig_ht, 宵
xiaoNit_rate, 硝
xiaoSea_rch, 搜
xiaoSel_l, 销
xieCra_b, 蟹
xieCru_mb, 屑
xieRec_eive, 接
xieRes_t, 歇
xingApe, 猩
xingApr_icot, 杏
xiongChest, 匈
xiongChest, 胸
xiuRep_air, 修
xiuRes_t, 休
xuRem_aining, 余
xuRes_t, 休
xuSig_h, 吁
xuSis_ter, 姐
yaCliff, 崖
yaCliff, 涯
yanFace, 颜
yanFact_ory, 厂
yanFlame, 炎
yanFlame, 焰
yanFlo_od, 淹
yanLea_d, 铅
yanLew_d, 淫
yanSalt, 盐
yanSalt, 腌
yanSay_ing, 谚
yanStr_ict, 严
yanStu_dy, 研
yanWea_k, 奄
yanWid_e/broad, 广
yanWil_d, 雁
yanWit_hered, 蔫
yangRaise, 养
yangRaise, 扬
yaoWai_st, 腰
yaoWan_t, 要
yePag_e, 页
yePar_ticle, 也
yeVil_la, 墅
yeVis_it, 谒
yiAlr_eady, 已
