…分之… | Fraction
…极了 | Extremely
一一 | One by one
一一列举 | Enumerate
一一对应 | One-to-one
一万 | Ten thousand
一万元 | One ten thousand yuan
一万多 | Approximately ten thousand
一万多名 | Over ten thousand
一万多年 | Over ten thousand years
一万年 | Ten thousand years
一丈 | One hundred steps
一三人 | One person plus three
一上 | As soon as
一下 | A little
一下下 | Quickly
一下儿 | A bit
一下子 | Suddenly
一下子成 | To succeed immediately
一不小心 | Accidentally
一不有 | Not having
一世 | One generation
一丛 | A cluster
一丛松 | A cluster of pine trees
一丝 | A strand
一丝一毫 | A single hair
一丝不苟 | Methodically
一两 | A little
一两个 | One or two
一两件 | One piece
一两句 | A few words
一两句话 | A couple of sentences
一两处 | A small place
一两天 | One or two days
一两次 | Once or twice
一两项 | One item
一两首 | A few verses
一个 | One
一个个 | One by one
一个五十多岁 | About fifty years old
一个五岁 | A Five-Year-Old
一个八品 | A ninth-rank official
一个劲儿 | Keep doing
一个十一二岁 | A boy
一个半 | One and a half
一个响 | A resounding sound
一个团 | One company
一个圈 | A circle
一个多 | A little more than
一个多月 | A little over a month
一个头 | One head
一个套 | One set
一个月 | One month
一个样 | One type
一个点 | A single point
一个班 | A class
一个瓢 | One gourd
一个系列 | A series
一个纸 | One piece of paper
一个角 | One corner
一中 | Number One
一中全会 | Politburo Study Session
一串 | A string
一串串 | Strings
一为 | One
一为家 | To support a family
一举 | One move
一举一动 | Every move
一举多得 | Kill Two Birds with One Stone
一举成名 | Become famous overnight
一久 | A long time
一九一一 | 1911
一九一九年 | 1919
一九三六年 | 1936
一九九七年 | 1997
一九二 | 192
一九二二年 | 1922
一九四九年 | 1949
一书 | A book
一书中 | In a book
一书为 | As a single book
一事 | One matter
一事无成 | Achieve nothing
一二 | One two
一二一 | One Two One
一二三四 | One
一二三四五 | One
一二九 | September 18th
一二件 | One or two things
一二位 | Sir
一二例 | One or two examples
一二八 | December 8 Incident
一些 | Some
一些则 | Some also
一交 | Upon contact
一交立 | One starts
一人 | One person
一人于 | To ask of one
一人接 | One person receives
一亿 | One hundred million
一亿多 | Over a billion
一亿年 | One hundred million years
一从 | From the beginning
一代 | Generation
一代人 | One generation
一代代 | Generation after generation
一以 | With one
一以贯之 | Consistent
一件 | A piece
一件件 | Yi Jian Jian
一任 | To entrust
一份 | A copy
一伏晃 | One foot sway
一伙 | A group
一会 | A while
一会儿 | A while
一会儿站 | Stand for a while
一传 | One pass
一伸 | To stretch
一似 | Similar to
一位 | One
一住 | For a while
一体 | Integral
一体化 | Integrated
一何 | What
一作 | One variation
一例 | One example
一侧 | One side
一信 | One letter
一修 | One repair
一倍 | One times two
一借 | Borrow
一倾 | A tilt
一做 | Do it once
一傅 | Teacher
一元 | One yuan
一元二次方程 | Quadratic Equation
一元方程 | First-order equation
一元酸 | Monoprotic acid
一克五修 | One-five-cent repair
一全 | Whole world
一共 | Altogether
一具 | One body
一册 | One volume
一再 | Again and again
一写 | Write (as in
一冬 | A winter
一出 | One performance
一击 | Single blow
一刀 | One stroke
一刀两断 | Acting without dawdling in a straightforward manner
一分 | One Penny
一分为二 | Divided into two
一分钟 | One minute
一切 | 
一切办法 | All means
一切正常 | Everything is normal
一切都是 | Everything is
一划 | One stroke
一列 | A train
一则 | One (instance
一别 | A parting
一到 | As soon as
一刹那 | Moment
一刻 | Moment
一刻不停 | Without stopping for a moment
一刻起 | From the moment
一刻钟 | An hour
一剑 | Yī jiàn
一副 | A pair
一动 | A movement
一动不动 | Motionless
一勺 | One spoon
一包 | One package
一匡天下 | To unite the world
一匹 | One horse
一区 | Area one
一十五 | The fifteenth
一千 | One Thousand
一千一百八十 | One thousand one hundred eighty
一千个 | One thousand
一千二三百 | One thousand two hundred and thirty
一千二百多 | Over one thousand two hundred
一千五百米 | One thousand five hundred meters
一千余 | Over a thousand
一千八百 | One Thousand Eight Hundred
一千六百 | One thousand six hundred
一千多 | Over a thousand
一千多年 | Over a thousand years
一千里 | One thousand and one miles
一千零一夜 | One Thousand and One Nights
一千零六 | 1006
一半 | Half
一半左右 | Approximately half
一卡通 | All-in-one card
一卦 | One fortune telling
一印 | One stamp
一卷 | One scroll
一厝朔东 | One place in the east of the north
一去 | Once for all
一去不复返 | Gone forever
一去不复返了 | Gone forever
一去不返 | One-way trip
一县 | One county
一双 | A pair
一双双 | Pairs of
一双眼 | A pair of eyes
一反 | Conversely
一反常态 | Contrary to the norm
一反既往 | A departure from the past
一发 | One shot
一取 | Take
一变 | One change
一叠 | A stack
一口 | One mouthful
一口口 | One mouthful after another
一口气 | In one breath
一句 | Sentence
一句句 | Sentence by sentence
一句话 | A word
一只 | One
一台 | One
一叶 | One leaf
一号 | Number One
一同 | Together
一名 | A
一后 | One behind
一向 | Always
一吨 | One ton
一吸 | One breath
一吹 | A quick blow
一吻 | Kiss
一员 | Member
一周 | One week
一周岁 | First birthday
一味 | Blindly
一呼用 | One exhalation
一呼百应 | One call
一咽 | One swallow
一品 | First rank
一哄 | Suddenly
一响 | One sound
一哼 | A slight cough
一唱 | One song
一嘴 | A mouthful
一器 | One utensil
一回 | Once
一回事 | The same thing
一团 | A ball
一团糟 | A complete mess
一国 | One country
一国两制 | One Country
一国之主 | Ruler of a country
一圈 | A circle
一圈圈 | Round and round
一在 | To be present
一地 | Everywhere
一场 | A
一块 | Piece
一块儿 | Together
一块块 | Piece by piece
一堂课 | One lesson
一堆 | One pile
一堆堆 | Piles
一堵 | A wall
一塌糊涂 | Messy
一壁 | One wall
一士 | One scholar
一声 | One
一声不吭 | Silent
一声不响 | Without a sound
一壶 | One pot
一壶水 | A pot of water
一壶酒 | One Pot of Wine
一处 | A place
一多半 | One half
一多话 | Many words
一夜 | One night
一夜之间 | In one night
一大 | One big
一大堆 | A large pile
一大批 | A large number of
一大早 | Early in the morning
一大步 | A big step
一大群 | A large group
一大跳 | A big jump
一大部分 | A large part
一天 | One day
